k Linear Matter Galaxy Monopole Quadrupole Hexadecapole
1e-05 190.0946642442014 59.27173205236757 77.01873573713532 103.63801992030733 56.05818335597586 3.6702569857950755
1.0233402121916423e-05 194.39686575302605 60.61316336596253 78.76153202484686 105.99165929534698 57.33143223759042 3.753619487599145
1.0472251898884354e-05 198.7964313472086 61.9849528991806 80.54496918673634 108.40184776584542 58.634606344000005 3.8389412697363485
1.0716676480328643e-05 203.29556421717982 63.38778760541283 82.37022468729602 110.8687776601458 59.96765162382782 3.9262187757098346
1.0966805983368674e-05 207.89651739686 64.82236997899145 84.23849617918788 113.39264127063612 61.33051402810593 4.015448488612756
1.1222773562085072e-05 212.60159489114488 66.28941840673865 86.15100049508935 115.97363153023267 62.72314070967904 4.106626944655786
1.148471547840289e-05 217.41315288536632 67.78966754934311 88.10860108145235 118.61207257185603 64.14575758590661 4.199768881113917
1.1752771174629452e-05 222.3336010072215 69.32386874104981 90.11131513193561 121.30859333574742 65.59923737848969 4.2949315214700885
1.202708334768512e-05 227.3654034293366 70.89279032568568 92.15905933773895 124.06386551945955 67.08454400613635 4.3921779263716045
1.2307798025066658e-05 232.51108008524741 72.49721803454285 94.25177299927563 126.87856107720252 68.60264133522847 4.491571229445947
1.2595064642583589e-05 237.77320793111343 74.13795537983965 96.38941853025236 129.75335173181978 70.15449333866998 4.59317450028849
1.2889036123908916e-05 243.15442223597898 75.81582405708627 98.57198197922041 132.68890934924633 71.74106394447278 4.697050887812837
1.3189868961986692e-05 248.65741790123005 77.53166435658187 100.79947355800014 135.68590579769983 73.36331707081513 4.803263480474016
1.3497723302339418e-05 254.28495080989558 79.2863355841864 103.07192817032877 138.74501288927345 75.02221669885847 4.911875404957453
1.3812763028320094e-05 260.0398392064885 81.08071649164569 105.38940596812472 141.86690251562268 76.71872676635951 5.022949778327381
1.4135155848353956e-05 265.92496510734634 82.91570571630069 107.75200041620997 145.052254070088 78.45381112609802 5.1365496828941755
1.4465073385216472e-05 271.9432756018225 84.79222216581043 110.16130118947544 148.30323459642244 80.22842216653244 5.252737503307879
1.4802691267395101e-05 278.0977841383333 86.71120539099311 112.62214520830946 151.62526954141782 82.04348687959225 5.371573928404798
1.5148189222583474e-05 284.3915722796296 88.67361616989055 115.13982380976682 155.02421628189666 83.89992890634744 5.493119396558292
1.5501751173357687e-05 290.8277912828821 90.680437006037 117.7196566960638 158.5059322626295 85.79867208936246 5.6174344259054125
1.5863565335085898e-05 297.4096636750228 92.7326726193199 120.36699254908814 162.07627492677284 87.74063996603034 5.744579487997134
1.623382431612278e-05 304.1404848636644 94.83135044797903 123.08720961791055 165.74110160086886 89.72675636509692 5.874615026143445
1.661272522034293e-05 311.02362478440875 96.97752116187755 125.88571627186592 169.5062697449632 91.75794489311127 6.007601546621876
1.700046975206718e-05 318.0625295853571 99.17225918741337 128.76795153539518 173.377636785731 93.83512930141869 6.143599530275877
1.7397264323438025e-05 325.26072334966716 101.41666324423426 131.73938558483704 177.36106012618535 95.95923326141164 6.282669427531725
