7.050686187792495e-06  1.991380564394768e-10  9.857449476810721e-09 
8.876288012398105e-06  4.958298284295162e-10  5.574793861105889e-09 
1.117458454121192e-05  1.239466182249499e-09  1.842276070822033e-08 
1.406796844517394e-05  3.083455858536227e-09  4.525786778370638e-08 
1.771052296794797e-05  7.687597573435058e-09  1.129039441645679e-07 
2.229622742051393e-05  1.916358600260456e-08  2.807927577873952e-07 
2.806928728682693e-05  4.775434611352424e-08  7.007527032025607e-07 
3.533713905633741e-05  1.190213964372852e-07  1.745744940924799e-06 
4.448682233812727e-05  2.966287694310667e-07  4.350484764831485e-06 
5.600559113144088e-05  7.392395992551595e-07  1.084196702377436e-05 
7.050686187792491e-05  1.842238798380520e-06  2.701582975245858e-05 
8.876288012398116e-05  4.590723011524830e-06  6.730934650716556e-05 
1.117458454121194e-04  1.143865785862669e-05  1.676693887505179e-04 
1.406796844517396e-04  2.849742372019653e-05  4.175423978133505e-04 
1.771052296794799e-04  7.098017689370090e-05  1.039317855019480e-03 
2.229622742051396e-04  1.767323777428185e-04  2.585200919159754e-03 
2.806928728682696e-04  4.398088654330490e-04  6.423798901687874e-03 
3.533713905633741e-04  1.093626896060384e-03  1.593865877787103e-02 
4.448682233812732e-04  2.716321218764920e-03  3.946640697262867e-02 
5.600559113144090e-04  6.736040687564935e-03  9.745990168236258e-02 
7.050686187792498e-04  1.666824867659983e-02  2.397926823158332e-01 
8.876288012398117e-04  4.112514471567470e-02  5.870850060637161e-01 
1.117458454121193e-03  1.010710262679136e-01  1.428049963144373e+00 
1.406796844517396e-03  2.471140300738868e-01  3.444069743014736e+00 
1.771052296794799e-03  6.000899551262250e-01  8.213652731105016e+00 
2.229622742051398e-03  1.444398667232696e+00  1.930398579080090e+01 
2.806928728682697e-03  3.436903863493740e+00  4.450837653318895e+01 
3.533713905633742e-03  8.058071011653659e+00  1.001403430469486e+02 
4.448682233812734e-03  1.854222466522123e+01  2.184269518836947e+02 
5.600559113144091e-03  4.166620899863375e+01  4.565637980972830e+02 
7.050686187792500e-03  9.077409362260133e+01  8.958383729964708e+02 
8.876288012398127e-03  1.896555385778405e+02  1.592808118151430e+03 
1.117458454119448e-02  3.737547384796617e+02  2.376768380173758e+03 
1.406796833767529e-02  6.796079138358182e+02  2.678654113080245e+03 
1.771044025249063e-02  1.121949635230376e+03  2.355785957430254e+03 
2.228467799993079e-02  1.676004610128216e+03  6.917743180079536e+02 
2.768190327973024e-02  2.206917454895350e+03  -4.338965044016048e+03 
3.224601404505933e-02  2.464573901043804e+03  -9.839911913749576e+03 
3.555361525999542e-02  2.517828710895849e+03  -1.300629636126326e+04 
3.827898996721694e-02  2.478151111237112e+03  -1.453201076215621e+04 
4.071131338025843e-02  2.385435739189690e+03  -1.475546794933682e+04 
4.297929738901715e-02  2.258088135283039e+03  -1.385539581111283e+04 
4.515098450745875e-02  2.107320568768589e+03  -1.194815926762372e+04 
4.726713790575666e-02  1.941470203310975e+03  -9.142533358064506e+03 
4.935451583331044e-02  1.767599864442426e+03  -5.560736289336192e+03 
5.143196672813839e-02  1.592157885180846e+03  -1.351840879292151e+03 
5.351354686629337e-02  1.421239091178997e+03  3.300846037713543e+03 
5.561025174143359e-02  1.260643834521688e+03  8.176108425717661e+03 
5.773104149557250e-02  1.115817237773883e+03  1.301494179346459e+04 
5.988348035975648e-02  9.917082339653452e+02  1.752480907950219e+04 
6.207415249609623e-02  8.925718678010696e+02  2.138868994024245e+04 
6.430894194514350e-02  8.217333779547529e+02  2.427957742058314e+04 
6.659322655474012e-02  7.813330168636609e+02  2.588090231403917e+04 
6.893201551848202e-02  7.720738328197793e+02  2.591295968077482e+04 
7.133004879605455e-02  7.929993020019157e+02  2.416474823333704e+04 
7.379187006076127e-02  8.413326060892405e+02  2.052968102988802e+04 
7.632188081900287e-02  9.124132876154802e+02  1.504238771332521e+04 
