# Sigma2(z) = 6.57664167e+01 (quad), 6.57718776e+01 (spline) 
7.050686187792495e-06  4.421960181851138e-11  2.195764363044447e-09 
8.876288012398105e-06  1.099662855776032e-10  1.278581247458864e-09 
1.117458454121192e-05  2.759207871865544e-10  4.030130594215604e-09 
1.406796844517394e-05  6.848389250065532e-10  1.009636661840588e-08 
1.771052296794797e-05  1.708165044917269e-09  2.511512222792709e-08 
2.229622742051393e-05  4.259150193582004e-09  6.232376159093331e-08 
2.806928728682693e-05  1.061162299263337e-08  1.557928535532050e-07 
3.533713905633741e-05  2.644946125159030e-08  3.879353498971198e-07 
4.448682233812727e-05  6.591834829314685e-08  9.667210746885548e-07 
5.600559113144088e-05  1.642752023939287e-07  2.409355991711292e-06 
7.050686187792491e-05  4.093858132041702e-07  6.003540015946893e-06 
8.876288012398116e-05  1.020160017497836e-06  1.495754248586483e-05 
1.117458454121194e-04  2.541919482265329e-06  3.725977559891454e-05 
1.406796844517396e-04  6.332743127239400e-06  9.278658251269725e-05 
1.771052296794799e-04  1.577330070534908e-05  2.309574372259749e-04 
2.229622742051396e-04  3.927358052596572e-05  5.744805115861229e-04 
2.806928728682696e-04  9.773419417199499e-05  1.427477250971658e-03 
3.533713905633741e-04  2.430238277606216e-04  3.541791765264392e-03 
4.448682233812732e-04  6.036097284034385e-04  8.769792261584662e-03 
5.600559113144090e-04  1.496830291390936e-03  2.165571571961990e-02 
7.050686187792498e-04  3.703789980779329e-03  5.327928449655269e-02 
8.876288012398117e-04  9.137883623001095e-03  1.304322730907896e-01 
1.117458454121193e-03  2.245618667073552e-02  3.172240924814913e-01 
1.406796844517396e-03  5.489856544711674e-02  7.648859831584619e-01 
1.771052296794799e-03  1.332930197314288e-01  1.823491340538606e+00 
2.229622742051398e-03  3.207473209292668e-01  4.283126335999325e+00 
2.806928728682697e-03  7.628877428890007e-01  9.866072180787718e+00 
3.533713905633742e-03  1.787450496349740e+00  2.216358353396907e+01 
4.448682233812734e-03  4.108684064503684e+00  4.821996337816657e+01 
5.600559113144091e-03  9.216962876442944e+00  1.003581628004622e+02 
7.050686187792500e-03  2.002559419557276e+01  1.954392813873571e+02 
8.876288012398127e-03  4.165690918802147e+01  3.426555519568350e+02 
1.117458454119448e-02  8.151038439305914e+01  4.960860473722784e+02 
1.406796833767529e-02  1.464757829975044e+02  5.148420450192431e+02 
