4.448682233812729e-05  4.448654695522567e-05  3.533676483682828e-05  5.620289721013383e-02 
5.600559113144086e-05  5.600561664559736e-05  4.448654695522567e-05  5.708739312879958e-02 
7.050686187792495e-05  7.050759070197942e-05  5.600561664559736e-05  5.834137301371249e-02 
8.876288012398114e-05  8.876507766623738e-05  7.050759070197942e-05  6.009252577267486e-02 
1.117458454121193e-04  1.117508993987760e-04  8.876507766623738e-05  6.250123243374363e-02 
1.406796844517396e-04  1.406899779311236e-04  1.117508993987760e-04  6.576453143194026e-02 
1.771052296794798e-04  1.771245504593544e-04  1.406899779311236e-04  7.011887713980128e-02 
2.229622742051397e-04  2.229959027245444e-04  1.771245504593544e-04  7.584084488388326e-02 
2.806928728682695e-04  2.807462621622183e-04  2.229959027245444e-04  8.324468409591650e-02 
3.533713905633740e-04  3.534447454006974e-04  2.807462621622183e-04  9.267539228090255e-02 
4.448682233812731e-04  4.449413535069181e-04  3.534447454006974e-04  1.044959456623517e-01 
5.600559113144089e-04  5.600540262499315e-04  4.449413535069181e-04  1.190677105647327e-01 
7.050686187792498e-04  7.047995389482051e-04  5.600540262499315e-04  1.367239986645993e-01 
8.876288012398118e-04  8.866975968133789e-04  7.047995389482051e-04  1.577380510137857e-01 
1.117458454121193e-03  1.115179904069580e-03  8.866975968133789e-04  1.822879937484460e-01 
1.406796844517397e-03  1.402301565772733e-03  1.115179904069580e-03  2.104220653779188e-01 
1.771052296794799e-03  1.763474332346192e-03  1.402301565772733e-03  2.420275436501253e-01 
2.229622742051398e-03  2.218334107563783e-03  1.763474332346192e-03  2.768065075534309e-01 
2.806928728682696e-03  2.791875423960924e-03  2.218334107563783e-03  3.142611441972317e-01 
3.533713905633742e-03  3.515777890094907e-03  2.791875423960924e-03  3.536908640662427e-01 
4.448682233812734e-03  4.429674963928733e-03  3.515777890094907e-03  3.942029721494158e-01 
5.600559113144092e-03  5.582301448554222e-03  4.429674963928733e-03  4.347379489150560e-01 
7.050686187792502e-03  7.033433850699957e-03  5.582301448554222e-03  4.741094189194143e-01 
8.876288012398124e-03  8.861478723382251e-03  7.033433850699957e-03  5.110576159812210e-01 
1.117458454119449e-02  1.118830899608906e-02  8.861478723382251e-03  5.443137248320152e-01 
1.406796833767529e-02  1.418972847898453e-02  1.118830899608906e-02  5.726711156789671e-01 
1.771044025249063e-02  1.791627923201018e-02  1.418972847898453e-02  5.950580668313538e-01 
2.228467799993079e-02  2.201912960288569e-02  1.791627923201018e-02  6.105823523183251e-01 
2.768190327973024e-02  2.625121797298061e-02  2.201912960288569e-02  6.184502249897987e-01 
3.224601404505933e-02  3.025662663369857e-02  2.625121797298061e-02  6.198846871280139e-01 
3.555361525999542e-02  3.380685222662406e-02  3.025662663369857e-02  6.190138323994487e-01 
3.827898996721694e-02  3.717847920834251e-02  3.380685222662406e-02  6.174357427793145e-01 
4.071131338025843e-02  4.044847761045646e-02  3.717847920834251e-02  6.155215482459571e-01 
4.297929738901715e-02  4.360336514351542e-02  4.044847761045646e-02  6.133938044320075e-01 
4.515098450745875e-02  4.659484504041979e-02  4.360336514351542e-02  6.111047403327086e-01 
4.726713790575667e-02  4.936309522577170e-02  4.659484504041979e-02  6.086804688972312e-01 
4.935451583331044e-02  5.185049121067743e-02  4.936309522577170e-02  6.061355560991925e-01 
5.143196672813838e-02  5.401350060663469e-02  5.185049121067743e-02  6.034788248401044e-01 
5.351354686629336e-02  5.583174019302752e-02  5.401350060663469e-02  6.007159982839898e-01 
5.561025174143359e-02  5.731589818608572e-02  5.583174019302752e-02  5.978510313103058e-01 
5.773104149557250e-02  5.851223905769955e-02  5.731589818608572e-02  5.948868371748898e-01 
5.988348035975648e-02  5.950369735994628e-02  5.851223905769955e-02  5.918257118107337e-01 
6.207415249609622e-02  6.040658393959372e-02  5.950369735994628e-02  5.886695970643792e-01 
6.430894194514350e-02  6.136265988813641e-02  6.040658393959372e-02  5.854202535008783e-01 
6.659322655474011e-02  6.252764131359168e-02  6.136265988813641e-02  5.820793802462143e-01 
6.893201551848202e-02  6.405530614082765e-02  6.252764131359168e-02  5.786487027122900e-01 
7.133004879605453e-02  6.608098560995967e-02  6.405530614082765e-02  5.751300402191675e-01 
7.379187006076128e-02  6.869914747453691e-02  6.608098560995967e-02  5.715253606401778e-01 
7.632188081900287e-02  7.194412768908433e-02  6.869914747453691e-02  5.678368264247010e-01 
7.892438086096934e-02  7.576857047398800e-02  7.194412768908433e-02  5.640668346054803e-01 
8.160359862020067e-02  8.002813657159065e-02  7.576857047398800e-02  5.602180524488414e-01 
8.436371399372736e-02  8.448136544642773e-02  8.002813657159065e-02  5.562934496538566e-01 
8.720887549942989e-02  8.881312073156147e-02  8.448136544642773e-02  5.522963276295159e-01 
9.014321319902632e-02  9.269017010395589e-02  8.881312073156147e-02  5.482303461290268e-01 
9.317084851648669e-02  9.584257901231556e-02  9.269017010395589e-02  5.440995472660899e-01 
9.629590188328352e-02  9.815098656481722e-02  9.584257901231556e-02  5.399083768727729e-01 
9.952249901126420e-02  9.971290159767646e-02  9.815098656481722e-02  5.356617031899318e-01 
1.028547765091854e-01  1.008572234917125e-01  9.971290159767646e-02  5.313648326915472e-01 
1.062968875049772e-01  1.020974886522885e-01  1.008572234917125e-01  5.270235230926671e-01 
1.098530079020037e-01  1.040167924134914e-01  1.020974886522885e-01  5.226439935257263e-01 
1.135273438765239e-01  1.071116645438980e-01  1.040167924134914e-01  5.182329319872293e-01 
1.173241412101429e-01  1.116437543749635e-01  1.071116645438980e-01  5.137975003258053e-01 
1.212476970421269e-01  1.174875241825662e-01  1.116437543749635e-01  5.093453371746066e-01 
1.253023746205308e-01  1.241513988350626e-01  1.174875241825662e-01  5.048845593083368e-01 
1.294926216282181e-01  1.307645709625994e-01  1.241513988350626e-01  5.004237622242145e-01 
1.338229926615947e-01  1.363544494298721e-01  1.307645709625994e-01  4.959720208057791e-01 
